27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:37 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:38 | ST0=[0.04kg, 0.04kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:39 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:40 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:41 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:42 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:43 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:44 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:45 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:46 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:47 | ST0=[0.04kg, 0.04kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:48 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:49 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:50 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:51 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:52 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:53 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:54 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:55 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:56 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:57:57 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:58 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:57:59 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:00 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:01 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:02 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:03 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:04 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:05 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:06 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:07 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:08 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:09 | ST0=[0.04kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:10 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:11 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:12 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:13 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:14 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:15 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:16 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:17 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:18 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:19 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:20 | ST0=[***, ***] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:21 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:22 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:23 | ST0=[1110.96kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:24 | ST0=[1110.96kg, 1111.08kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:25 | ST0=[1110.97kg, 1111.09kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:26 | ST0=[1110.97kg, 1111.09kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:27 | ST0=[1110.98kg, 1111.09kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:28 | ST0=[1110.98kg, 1111.09kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:29 | ST0=[1110.98kg, 1111.10kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:30 | ST0=[1110.98kg, 1111.10kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:31 | ST0=[1110.99kg, 1111.10kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:32 | ST0=[1110.99kg, 1111.10kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:33 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:34 | ST0=[1110.99kg, 1111.10kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:35 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:36 | ST0=[1110.99kg, 1111.11kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:37 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:38 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:39 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:40 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:41 | ST0=[1110.99kg, 1111.11kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:42 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:43 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:44 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:45 | ST0=[1110.99kg, 1111.11kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:46 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:47 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:48 | ST0=[1110.99kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:49 | ST0=[1111.00kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:50 | ST0=[1111.00kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:51 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:52 | ST0=[1111.00kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:53 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:54 | ST0=[1111.00kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:58:55 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:56 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:57 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:58 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:58:59 | ST0=[1111.00kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:00 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:01 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:02 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:03 | ST0=[1111.00kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:04 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:05 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:06 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:07 | ST0=[1111.00kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:08 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:09 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:10 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:11 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:12 | ST0=[1111.00kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:13 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:14 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:15 | ST0=[1111.00kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:16 | ST0=[1111.00kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:17 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:18 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:19 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:20 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:21 | ST0=[1111.01kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:22 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:23 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:24 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:25 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:26 | ST0=[1111.00kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:27 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:28 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:29 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:30 | ST0=[1111.01kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:31 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:32 | ST0=[1111.01kg, 1111.11kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:33 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:34 | ST0=[1111.01kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:35 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:36 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:37 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:38 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:39 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:40 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:41 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:42 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:43 | ST0=[1111.01kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:44 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:45 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:46 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:47 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:48 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:49 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:50 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:51 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:52 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:53 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:54 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:55 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:56 | ST0=[1111.01kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 09:59:57 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:58 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 09:59:59 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:00 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:01 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:02 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:03 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:04 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:05 | ST0=[1111.01kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:06 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:07 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:08 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:09 | ST0=[1111.01kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:10 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:11 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:12 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:13 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:14 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:15 | ST0=[1111.01kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:16 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:17 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:18 | ST0=[1111.01kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:19 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:20 | ST0=[1111.01kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:21 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:22 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:23 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:24 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:25 | ST0=[1111.01kg, 1111.12kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:26 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:27 | ST0=[1111.01kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:28 | ST0=[1111.01kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:29 | ST0=[1111.01kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:30 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:31 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:32 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:33 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:34 | ST0=[1111.01kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:35 | ST0=[1111.01kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:36 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:37 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:38 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:39 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:40 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:41 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:42 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:43 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:44 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:45 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:46 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:47 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:48 | ST0=[1111.02kg, 1111.15kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:49 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:50 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:51 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:52 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:53 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:54 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:00:55 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:56 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:57 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:58 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:00:59 | ST0=[1111.02kg, 1111.12kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:00 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:01 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:02 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:03 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:04 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:05 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:06 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:07 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:08 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:09 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:10 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:11 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:12 | ST0=[1111.02kg, 1111.13kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:13 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:14 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:15 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:16 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:17 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:18 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:19 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:20 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:21 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:22 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:23 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:24 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:25 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:26 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:27 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:28 | ST0=[1111.02kg, 1111.13kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:29 | ST0=[1111.02kg, 1111.14kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:30 | ST0=[1111.02kg, 1111.14kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:31 | ST0=[***, ***] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:32 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:33 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:34 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:35 | ST0=[0.04kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:36 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:37 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:38 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:39 | ST0=[0.04kg, 0.04kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:40 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:41 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:42 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:43 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:44 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:45 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:46 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:47 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:48 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

25-08-27 10:01:49 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:50 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:51 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]

25-08-27 10:01:52 | ST0=[0.04kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]

